model,cv_balanced_accuracy_mean,cv_f1_mean,cv_precision_mean,cv_recall_mean,test_balanced_accuracy,test_f1,test_precision,test_sensitivity,test_specificity,test_roc_auc,confusion_matrix
baseline_log_reg,0.6066790410768562,0.7088534416393382,0.7859116330599021,0.6473384660318702,0.5378877035799704,0.6839546191247974,0.8577235772357723,0.568733153638814,0.5070422535211268,0.569720208040697,"[[36, 35], [160, 211]]"
random_forest,0.5760381743450902,0.8356626949512437,0.7525666330886824,0.9449139707077204,0.527295850575149,0.8793774319066148,0.8475,0.9137466307277629,0.14084507042253522,0.5849246421927793,"[[10, 61], [32, 339]]"
lda,0.5508665356350042,0.789542310193732,0.7424813480262855,0.8464937555013881,0.4912114194601572,0.8319783197831978,0.8365122615803815,0.8274932614555256,0.15492957746478872,0.5560533009377017,"[[11, 60], [64, 307]]"
