feature_set,model,seed,balanced_accuracy,sensitivity,specificity,roc_auc,balanced_accuracy_opt_threshold,threshold_used
stage_diff_summary,baseline_log_reg,0,0.762828535669587,0.7021276595744681,0.8235294117647058,0.8419899874843554,0.7812891113892365,0.36652302949118953
stage_diff_summary,lda,0,0.6996245306633292,0.8404255319148937,0.5588235294117647,0.831351689612015,0.7828535669586983,0.7804494617304402
stage_diff_summary,random_forest,0,0.7024405506883604,0.7872340425531915,0.6176470588235294,0.7764392991239049,0.7399874843554444,0.58
stage_diff_summary,svm_rbf,0,0.6974342928660826,0.6595744680851063,0.7352941176470589,0.7869211514392991,0.718397997496871,0.624151013721648
stage_diff_summary,gradient_boosting,0,0.6742803504380476,0.8191489361702128,0.5294117647058824,0.7512515644555695,0.7293491864831039,0.7937733021505811
stage_diff_summary,baseline_log_reg,1,0.7925925925925926,0.6851851851851852,0.9,0.8671296296296296,0.8305555555555556,0.31731239064994754
stage_diff_summary,lda,1,0.8101851851851851,0.8703703703703703,0.75,0.8643518518518518,0.8324074074074074,0.5573046892858304
stage_diff_summary,random_forest,1,0.6953703703703704,0.7407407407407407,0.65,0.7914351851851853,0.7462962962962962,0.4033333333333333
stage_diff_summary,svm_rbf,1,0.7740740740740741,0.6481481481481481,0.9,0.850925925925926,0.8064814814814815,0.6492047194421618
stage_diff_summary,gradient_boosting,1,0.6324074074074074,0.8148148148148148,0.45,0.7759259259259259,0.7527777777777778,0.9337048847437572
stage_diff_summary,baseline_log_reg,2,0.7953488372093023,0.8,0.7906976744186046,0.8623803009575923,0.8069767441860465,0.518784972764056
stage_diff_summary,lda,2,0.6972640218878249,0.9294117647058824,0.46511627906976744,0.8601915184678524,0.8013679890560876,0.7013973309555732
stage_diff_summary,random_forest,2,0.7377564979480165,0.8941176470588236,0.5813953488372093,0.8258549931600546,0.7548563611491108,0.6066666666666667
stage_diff_summary,svm_rbf,2,0.7485636114911081,0.7529411764705882,0.7441860465116279,0.8393980848153215,0.76703146374829,0.6325162683624433
stage_diff_summary,gradient_boosting,2,0.6625170998632011,0.9529411764705882,0.37209302325581395,0.8366621067031463,0.7662106703146374,0.861921386670452
stage_diff_summary,baseline_log_reg,3,0.7739687848383501,0.7435897435897436,0.8043478260869565,0.8146599777034559,0.7937569676700111,0.5445804949490698
stage_diff_summary,lda,3,0.6073021181716833,0.9102564102564102,0.30434782608695654,0.8363991081382386,0.7976588628762542,0.7795795033419498
stage_diff_summary,random_forest,3,0.6839464882943144,0.8461538461538461,0.5217391304347826,0.7428929765886287,0.7240802675585284,0.6466666666666666
